state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
North Carolina,-0.1297058735863351,0.0092242562245917,0.4998935387968308,0.4995196638183608,0.0002706154097252,-0.0042689115107128,0.0003038182107573,1537,5679647,1.8223605486296245e-05,9.230550518776715e-08,14.85373805156144,2932.529990468169,99.03358893613785,-90.79570530046644
Maine,-0.0216050916081361,-0.05526383250639,0.4979382928737663,0.4994230029227278,0.0002694331679446,-0.0007123027636621,-0.001816588252143,224,831375,5.073752271206655e-07,3.2999928778239594e-06,531.1764692781486,81.66859496947401,-137.13235235631635,63.5408058171991
Idaho,-0.0307076861567145,-0.0478020336363096,0.4706021125904707,0.4599398123740001,0.0002718796832933,-0.0010760702991283,-0.0017139288652954,246,904812,1.157927288666069e-06,2.937552155292777e-06,234.86243447220136,92.57831268388276,4.527465661706764,62.36653955939726
West Virginia,-0.1415338801510216,0.0389977196238406,0.4583245164219547,0.4495369422423659,0.0005286008473353,-0.0071017612214657,0.0019950444092917,403,762390,5.043501244671399e-05,3.9802021950460685e-06,10.48637421333128,132.877775563395,97.39792203143145,67.02784725474069
Ohio,-0.1603604027380432,0.0353004723718478,0.4973279253974491,0.4963257044246643,0.0003613172346239,-0.0061302347328269,0.001352186392976,2083,5765017,3.757977787955729e-05,1.8284080413494458e-06,9.618147108624177,197.68444667757987,99.53825505959557,90.50962809997216
Florida,-0.1344192875239281,0.0202924826757247,0.4962780647411537,0.495060324594627,0.0003252383888151,-0.0048854890667912,0.0007393474821242,3543,10893548,2.386800342173635e-05,5.466346993233943e-07,13.630976897853314,595.1766392478778,99.61527019763327,83.20133674152194
South Carolina,-0.1297723286210781,0.023206735569154,0.4931824871571016,0.4906207875425339,0.0003512365882565,-0.0049323127830512,0.0008866337663759,895,2548140,2.432770938985027e-05,7.86119435677914e-07,14.442790034737055,446.95498266203214,98.38628044304613,50.06089579195172
Arkansas,-0.1785540876337571,0.0424496814953505,0.4794214033980178,0.4721994745315873,0.0004160057361441,-0.0075978793137005,0.0018339561580779,492,1182676,5.7727770065557976e-05,3.3633951897518515e-06,7.2093356190307,123.73772496580952,98.53468788231083,74.85005590125823
Maryland,-0.0530693912348644,-0.0606246347299926,0.4748409476112747,0.4825607666705109,0.0002878318107207,-0.0018963908385808,-0.0021317144587161,868,3015650,3.59629821265319e-06,4.5442065334992754e-06,80.05862270038591,63.35862589044003,90.77665637092328,92.70061913704608
Alaska,-0.0924566407582698,0.0389301773872575,0.497930186647201,0.4925591696935729,0.000345972671116,-0.0034543448515337,0.0014703611235581,117,338177,1.193249835331738e-05,2.1619618336710383e-06,29.004186666004884,160.08257141327235,75.2100968666625,-36.82271060963449
Rhode Island,-0.0827827431005598,-0.0864977488550761,0.4935360209289157,0.4965768034738764,0.0003485692017569,-0.0031321400139322,-0.0032526593812426,178,510659,9.8103010668752e-06,1.0579793050385495e-05,35.5433275935613,32.95818197490205,80.03183843058353,81.48416742983031
